id,ra,dec,zfinal,mass_med,sersic,radius_sersic,MAG_BEST,C,A,S,G,M20,M,I,D,G2,Base_flag,Type
207800,149.764368,2.067695,2.5641,10.17669,0.904694413,8.49352E-05,23.3642,2.570948,0.12643,0.054903,0.511013,-1.382185,0.173913,0.630044,0.079938,1.994132,0,ETD
207802,149.795231,2.056484,1.0524,9.19708,1.189857054,5.30149E-05,23.5426,3.15036,0.142707,0.063564,0.56277,-1.695326,0.028125,0.014683,0.159087,1.968376,0,ETD
207804,149.779098,2.061813,0.9005,9.99873,0.3,0.000247861,21.9867,3.113338,0.366209,0.041996,0.513908,-1.586657,0.033981,0.213238,0.128562,1.981716,0,IRR
207805,149.778868,2.062104,0.9654,10.54503,1.074925793,0.000166111,21.2102,2.604046,0.202497,0.067963,0.561558,-1.426642,0.113924,0.779493,0.270388,1.98647,0,IRR
207816,149.801034,2.054312,0.999,10.13869,2.490740263,4.8827E-05,22.4668,3.471516,0.046399,0.010398,0.54706,-2.058611,0.034169,0.046533,0.075982,1.91031,0,ETD
207836,149.793003,2.057341,0.645,10.50019,3.195863716,7.21563E-05,20.6811,4.062085,0.085166,0.029705,0.600037,-2.260765,0.014634,0.02466,0.035525,0.134516,0,ETD
207849,149.744108,2.07545,2.0253,9.26327,2.62870581,7.95085E-05,24.5278,2.859671,-0.092606,0.034557,0.494911,-1.566449,0.059406,0.075178,0.087528,2.013303,0,ETD
207857,149.789192,2.059144,3.4903,8.95276,2.674125899,3.56139E-05,25.546,2.86818,0.035202,0.094391,0.540044,-1.736281,0.034483,0,0.046694,2.024515,0,LTD
207858,149.776862,2.063592,2.0006,9.17512,1.357355233,5.69632E-05,25.0919,2.134268,0.046811,0.025799,0.432615,-1.239348,0.105769,0.096269,0.307523,2.014836,0,UNC
207861,149.781222,2.062016,1.3581,9.08366,0.835626786,4.80934E-05,23.9969,2.949312,0.025017,0.068145,0.490876,-1.483063,0.016484,0,0.06062,1.983596,0,LTD
207866,149.78241,2.061651,1.4532,9.14143,0.700198635,4.79607E-05,24.1197,2.843019,0.006527,0.041543,0.52045,-1.598165,0.052083,0.042322,0.06681,2.018465,0,ETD
207882,149.804057,2.053941,2.5191,8.87461,1.42089046,3.31412E-05,25.6895,2.626881,-0.146633,0,0.411959,-1.356476,0.130435,0,0.194447,2.070133,0,UNC
207884,149.729967,2.080857,1.6049,9.33399,1.637130006,4.83606E-05,24.0825,3.124615,-0.090673,-0.007886,0.523819,-1.913805,0.048077,0.056774,0.023332,2.017679,0,ETD
207885,149.820264,2.047773,1.3482,10.74992,2.096035153,5.80504E-05,21.0745,3.541658,0.191482,0.017123,0.547082,-2.003224,0.021638,0.11414,0.059565,0.600091,0,ETD
207894,149.779745,2.062846,2.0019,8.8399,1.76591917,4.28852E-05,25.193,2.971337,-0.182883,0.053426,0.492328,-1.586211,0.219048,0.339135,0.155453,2.066475,0,ETD
207896,149.747757,2.074279,1.5908,9.55167,0.924581664,0.000106465,22.9846,3.063466,0.123548,0.008119,0.536448,-1.710349,0.107965,0.220068,0.196888,1.97516,0,IRR
207909,149.783749,2.06149,2.8478,9.39876,1.222770263,7.24671E-05,24.4073,2.889331,-0.052013,0.039517,0.447222,-1.359764,0.139535,0.17601,0.339207,2.008029,0,IRR
207913,149.797912,2.056393,2.2234,9.10398,1.308933885,5.35516E-05,24.9009,2.688681,0.007988,0.008014,0.510019,-1.793742,0.068966,0.044672,0.196376,2.07885,0,ETD
207917,149.75051,2.073626,1.7916,9.1084,2.825089853,4.32157E-05,24.3007,3.191042,0.041969,0.042106,0.552937,-1.658053,0.02139,0,0.137743,2.020019,0,ETD
207928,149.746288,2.075094,1.6488,9.35704,0.356086845,0.00010822,24.5492,2.954,0.051697,-0.11425,0.589018,-1.007761,0.023256,0,0.414224,2.015387,0,ETD
207938,149.797283,2.056798,3.6846,9.59861,1.035301526,5.08073E-05,24.0267,2.841019,0.105199,0.025955,0.543822,-1.673383,0.048739,0.023728,0.090626,1.985542,0,LTD
207952,149.756654,2.071247,1.0088,10.85005,1.273960864,0.000205488,20.5473,3.022286,0.191749,0.111727,0.531097,-1.918242,0.081818,0.141062,0.038925,1.638426,0,LTD
207954,149.771178,2.066539,3.6632,8.75828,0.521959422,6.12885E-05,25.8011,2.588502,-0.205212,-0.045955,0.4262,-1.182431,0.359712,0.169623,0.071848,2.013212,0,IRR
207963,149.742966,2.076742,2.0263,9.53994,1.292811508,3.57434E-05,24.0893,2.984788,0.037377,0.046858,0.570862,-1.661576,0.027778,0.013731,0.14463,1.99438,0,ETD
207965,149.770945,2.066675,3.569,8.95218,0.368128348,6.55251E-05,25.4617,2.409766,-0.055546,-0.010129,0.468039,-1.226655,0.409091,0.716028,0.427941,2.021417,0,UNC
207968,149.780007,2.063279,1.6228,10.40097,2.221795762,5.27123E-05,23.7993,2.633773,-0.12944,0.054979,0.437138,-1.348675,1,0.810854,0.207449,2.016351,0,IRR
207971,149.821246,2.048462,3.2543,8.92319,6.669392116,0.000122515,26.227,2.691801,-0.226132,-0.01526,0.394332,-1.587638,0.017544,0,0.139536,2.033596,0,UNC
